nome_tabela;unb;cod_sku;desconto
BAKINAS;1716000;18833;0.0278
BAKINAS;1716000;18836;0.0178
BAKINAS;1716000;19266;0.0275
BAKINAS;1716000;19644;0.0323
BAKINAS;1716000;19668;0.0266
BAKINAS;1716000;19729;0.0239
BAKINAS;1716000;20072;0.0218
BAKINAS;1716000;20498;0.0315
BAKINAS;1716000;20544;0.026
BAKINAS;1716000;20647;0.0362
BAKINAS;1716000;20651;0.0214
BAKINAS;1716000;20853;0.0181
BAKINAS;1716000;21020;0.0315
BAKINAS;1716000;21119;0.0204
BAKINAS;1716000;21501;0.0176
BAKINAS;1716000;21632;0.0212
BAKINAS;1716000;21658;0.0266
BAKINAS;1716000;21678;0.0189
BAKINAS;1716000;21934;0.046
BAKINAS;1716000;21946;0.0341
BAKINAS;1716000;22027;0.0189
BAKINAS;1716000;22177;0.0278
BAKINAS;1716000;22180;0.0217
BAKINAS;1716000;22235;0.0244
BAKINAS;1716000;23033;0.3
BAKINAS;1716000;23035;0.3
BAKINAS;1716000;23037;0.3
BAKINAS;1716000;23216;0.0932
BAKINAS;1716000;23218;0.0176
BAKINAS;1716000;23269;0.0164
BAKINAS;1716000;23271;0.0164
BAKINAS;1716000;23282;0.3
BAKINAS;1716000;24168;0.0223
BAKINAS;1716000;24479;0.026
BAKINAS;1716000;26204;0.0342
BAKINAS;1716000;28137;0.0204
BAKINAS;1716000;29485;0.0164
BAKINAS;1716000;29580;0.0198
BAKINAS;1716000;29991;0.0164
BAKINAS;1716000;30103;0.0279
BAKINAS;1716000;31051;0.0279
BAKINAS;1716000;31075;0.0279
BAKINAS;1716000;32349;0.0204
BAKINAS;1716000;32361;0.0164
ESPECIAIS_CT;1716000;279;0.1001
ESPECIAIS_CT;1716000;371;0.1
ESPECIAIS_CT;1716000;620;0.0214
ESPECIAIS_CT;1716000;827;0.3
ESPECIAIS_CT;1716000;828;0.3
ESPECIAIS_CT;1716000;838;0.3
ESPECIAIS_CT;1716000;860;0.3
ESPECIAIS_CT;1716000;982;0.05
ESPECIAIS_CT;1716000;988;0.1001
ESPECIAIS_CT;1716000;1388;0.0501
ESPECIAIS_CT;1716000;1493;0.0351
ESPECIAIS_CT;1716000;1684;0.0501
ESPECIAIS_CT;1716000;1695;0.1001
ESPECIAIS_CT;1716000;1699;0.0299
ESPECIAIS_CT;1716000;1743;0.0502
ESPECIAIS_CT;1716000;1745;0.0275
ESPECIAIS_CT;1716000;1898;0.028
ESPECIAIS_CT;1716000;2006;0.0652
